name,type,lat,lon,address
Cho Ray Hospital,Bệnh viện,10.7578646,106.6595131,"201B Nguyễn Chí Thanh, Phường 12, Quận 5, Thành phố Hồ Chí Minh 700000, Vietnam"
Phòng Khám Đa Khoa Quốc Tế An Phú (APH),Bệnh viện,10.7913248,106.7474553,"Lương Định Của, An Phú, Thủ Đức, Thành phố Hồ Chí Minh 71106, Vietnam"
115 People’s Hospital,Bệnh viện,10.773980199999999,106.6660284,"527 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam"
The Saigon International University,Trường đại học,10.805501699999999,106.7326092,"8C, 9, 10, 16, 18, 8C Tống Hữu Định, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
"Saigon International University, Fleming Campus",Trường đại học,10.805689,106.73306989999999,"16 Tống Hữu Định, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
University of Information Technology - VNUHCM,Trường đại học,10.8700089,106.8030541,"Hàn Thuyên, khu phố 6 P, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
HCMC University of Natural Resources and Environment (HCMUNRE),Trường đại học,10.796432,106.66679669999999,"236 Đ. Lê Văn Sỹ, Phường 1, Tân Bình, Thành phố Hồ Chí Minh, Vietnam"
Army Academy 2 (Nguyen Hue University),Trường đại học,10.8768561,106.9578937,"VXG5+P5R, Đường số 6, Tam Phước, Biên Hòa, Đồng Nai, Vietnam"
Nong Lam University,Trường đại học,10.8712764,106.7917617,"VQCR+GP6, khu phố 6, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Ho Chi Minh City University of Transport,Trường đại học,10.8045178,106.7167175,"02 Võ Oanh, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
Trường Đại học Hùng Vương TP HCM,Trường đại học,10.7531129,106.6603519,"736 Nguyễn Trãi, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Vietnam"
Ho Chi Minh City University of Education,Trường đại học,10.761394,106.6821834,"280 An Dương Vương, Phường 7, Quận 5, Thành phố Hồ Chí Minh 720000, Vietnam"
HCMC University of Technology and Education,Trường đại học,10.8506324,106.77191309999999,"01 Đ. Võ Văn Ngân, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
Information Technology College HoChiMinh City,Trường đại học,10.7750496,106.6344994,"12 D. Trịnh Đình Thảo, Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam"
Vietnamese–German University (VGU),Trường đại học,11.107496999999999,106.61410629999999,"Đ. VĐ 4, Thới Hoà, Bến Cát, Bình Dương 75000, Vietnam"
Posts and Telecommunication Institute of Technology - Ho Chi Minh City Campus,Trường đại học,10.7894399,106.7007287,"11 Nguyễn Đình Chiểu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam"
Binh Khanh Market,Chợ,10.7866123,106.7383018,"Bình Khánh, District 2, Thành phố Hồ Chí Minh, Vietnam"
